epoch,loss,validation_loss,accuracy,validation_accuracy
0,105.329007640481,2.3183122277259827,0.09922325231771485,0.10792951541850221
10,7.175461396574974,3.630728304386139,0.06965672763718367,0.053964757709251104
20,4.27603217959404,2.6926815509796143,0.0829366073665748,0.05506607929515418
30,3.266210436820984,2.467870354652405,0.18316211475820596,0.10352422907488987
40,2.818910598754883,2.413952648639679,0.21172638436482086,0.11674008810572688
50,2.582792177796364,2.3971487879753113,0.22425457278877475,0.11013215859030837
60,2.4450350999832153,2.3916372060775757,0.2237534452518166,0.10462555066079295
70,2.3587381541728973,2.3900017738342285,0.22400400902029566,0.11123348017621146
80,2.301486387848854,2.389918625354767,0.22300175394637936,0.11123348017621146
90,2.2617746591567993,2.39052951335907,0.22300175394637936,0.11013215859030837
100,2.233183667063713,2.391420006752014,0.22300175394637936,0.11013215859030837
110,2.211957946419716,2.392386019229889,0.22275119017790027,0.11013215859030837
120,2.195780888199806,2.3933103680610657,0.22275119017790027,0.11013215859030837
130,2.183154582977295,2.3941227793693542,0.22275119017790027,0.11013215859030837
140,2.1730743795633316,2.394785761833191,0.22300175394637936,0.11013215859030837
150,2.1648448705673218,2.3952829241752625,0.22300175394637936,0.11013215859030837
160,2.1579724550247192,2.395611047744751,0.22275119017790027,0.11013215859030837
170,2.152096748352051,2.3957746028900146,0.22275119017790027,0.11013215859030837
180,2.146947458386421,2.3957812786102295,0.22275119017790027,0.11013215859030837
190,2.142315626144409,2.395641028881073,0.2225006264094212,0.11013215859030837
200,2.138034388422966,2.395363688468933,0.2225006264094212,0.11013215859030837
210,2.1339658945798874,2.394961893558502,0.22300175394637936,0.11013215859030837
220,2.129992887377739,2.394447922706604,0.22300175394637936,0.11013215859030837
230,2.126008838415146,2.3938342332839966,0.2237534452518166,0.11013215859030837
240,2.121904030442238,2.393121838569641,0.2247557003257329,0.11013215859030837
250,2.1175371557474136,2.3922709226608276,0.22500626409421198,0.11013215859030837
