epoch,loss,validation_loss,accuracy,validation_accuracy
0,1.933798260986805,2.2659981846809387,0.327987972939113,0.1883259911894273
5,0.7959972098469734,1.0557861924171448,0.7366574793284891,0.6354625550660793
10,0.5604282058775425,0.8006844371557236,0.8110749185667753,0.7202643171806168
15,0.3758646361529827,0.7332205176353455,0.8689551490854422,0.75
20,0.312005665153265,0.6901322603225708,0.887246304184415,0.7797356828193832
25,0.2569256266579032,0.637629896402359,0.9055374592833876,0.7841409691629956
30,0.2432187758386135,0.6642326414585114,0.91029817088449,0.7907488986784141
35,0.25112366024404764,0.7001036554574966,0.9085442245051366,0.7665198237885462
40,0.1895288024097681,0.5753494054079056,0.9303432723628163,0.8072687224669604
45,0.16588106704875827,0.6434248983860016,0.9378601854171886,0.7907488986784141
50,0.16910249274224043,0.6466632336378098,0.9361062390378351,0.8061674008810573
55,0.12604113551788032,0.6315283626317978,0.9533951390628915,0.8072687224669604
60,0.17412773985415697,0.7516445815563202,0.9341017288900025,0.7863436123348018
65,0.20617411751300097,0.804674506187439,0.9270859433725883,0.7973568281938326
70,0.12457518838346004,0.6952089369297028,0.9508895013781007,0.8182819383259912
75,0.10756819462403655,0.6187181770801544,0.9546479579052869,0.8480176211453745
80,0.13513804227113724,0.6644898951053619,0.9506389376096217,0.8116740088105727
