epoch,loss,validation_loss,accuracy,validation_accuracy
0,2.1997368186712265,2.2961841225624084,0.2558256076171386,0.1486784140969163
5,0.675254225730896,0.9544127583503723,0.8436482084690554,0.724669603524229
10,0.4370565712451935,0.6747781932353973,0.8762214983713354,0.7841409691629956
15,0.42587856389582157,0.6277590095996857,0.8769731896767727,0.7984581497797357
20,0.49300843849778175,0.7486138194799423,0.8388874968679529,0.7522026431718062
25,0.25904312636703253,0.47784245014190674,0.9155600100225507,0.8381057268722467
30,0.15393714513629675,0.3873574286699295,0.9493861187672262,0.8865638766519823
35,0.25132641941308975,0.5006142258644104,0.9110498621899273,0.8381057268722467
40,0.16824932163581252,0.37802083045244217,0.9446254071661238,0.8799559471365639
45,0.14701373502612114,0.3971055969595909,0.9518917564520171,0.8645374449339207
50,0.11021023383364081,0.31139592081308365,0.9589075419694312,0.8920704845814978
55,0.11446554958820343,0.41443251073360443,0.9604109245803056,0.8623348017621145
60,0.13292188243940473,0.44746382534503937,0.9538962665998496,0.8579295154185022
65,0.13828140124678612,0.45970651507377625,0.954898521673766,0.8656387665198237
70,0.1074031488969922,0.3472275212407112,0.9624154347281383,0.8810572687224669
75,0.09920381708070636,0.4037512168288231,0.9639188173390127,0.8645374449339207
80,0.10020200675353408,0.3729170188307762,0.9651716361814082,0.8788546255506607
